session_id,mturk_worker_id,session_started,session_completed,confidence_rating,mental_effort,task_order,image_name,selected_description,not_listed,is_correct,duration_ms,time_started_ms,time_submitted_ms
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,1,0692_c016_00076200_0.jpg,black audi sedan,0,1.0,7058.0,1774364944739.0,1774364951797.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,2,0325_c011_00051570_0.jpg,,1,1.0,14821.0,1774364952725.0,1774364967546.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,3,0564_c002_00038690_1.jpg,,1,0.0,5013.0,1774364968477.0,1774364973490.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,4,0059_c008_00070455_0.jpg,brown pickup,0,0.0,10529.0,1774364974748.0,1774364985277.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,5,0329_c014_00048720_0.jpg,white sedan with blue license plate,0,1.0,4690.0,1774364986204.0,1774364990894.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,6,0317_c004_00015790_0.jpg,white sedan,0,1.0,5241.0,1774364991838.0,1774364997079.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,7,0029_c014_00070680_0.jpg,red taxi cab sedan,0,1.0,3791.0,1774364998010.0,1774365001801.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,8,0243_c016_00031310_0.jpg,golden van,0,0.0,5080.0,1774365002734.0,1774365007814.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,9,0575_c014_00003810_0.jpg,brown/gray sedan,0,0.0,7265.0,1774365008745.0,1774365016010.0
41e167091fdec43baea9dfdc4ec37178,,2026-03-24 15:08:59,2026-03-24 15:10:57,6.0,5.0,10,0087_c012_00002250_0.jpg,brown pickup,0,0.0,18873.0,1774365017008.0,1774365035881.0
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,1,0502_c008_00008745_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,2,0589_c019_00000740_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,3,0692_c016_00076200_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,4,0766_c013_00080745_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,5,0059_c008_00070455_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,6,0029_c014_00070680_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,7,0329_c014_00048720_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,8,0524_c001_00059670_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,9,0317_c004_00015790_0.jpg,,0,,,,
6743b39b55f9042e26552db3094213ff,,2026-03-24 15:11:48,,,,10,0715_c009_00014735_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,1,0329_c014_00048720_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,2,0029_c014_00070680_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,3,0502_c008_00008745_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,4,0524_c001_00059670_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,5,0255_c013_00025030_1.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,6,0692_c016_00076200_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,7,0242_c007_00031670_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,8,0325_c011_00051570_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,9,0575_c014_00003810_0.jpg,,0,,,,
9660ff4148b06bcb0e260dfb0f395c9f,,2026-03-24 15:12:07,,,,10,0073_c001_00045055_0.jpg,,0,,,,
c078fffff1f376aa302cb384e2d35591,,2026-03-24 15:26:53,2026-03-24 15:28:11,7.0,7.0,1,0329_c014_00048720_0.jpg,white sedan with blue license plate,0,1.0,5509.0,1774380414856.0,1774380420365.0
c078fffff1f376aa302cb384e2d35591,,2026-03-24 15:26:53,2026-03-24 15:28:11,7.0,7.0,2,0224_c014_00063300_0.jpg,gray sedan,0,0.0,6322.0,1774380421438.0,1774380427760.0
c078fffff1f376aa302cb384e2d35591,,2026-03-24 15:26:53,2026-03-24 15:28:11,7.0,7.0,3,0073_c001_00045055_0.jpg,white/brown truck,0,0.0,8144.0,1774380428795.0,1774380436939.0
